"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29099903075";"Prima Aceptada en Reaseguro";"LUCRO CESANTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"MONTAJE Y ROTURA DE MAQUINARIA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"AVIACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"NAVEGACIÓN Y CASCO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"MINAS Y PETRÓLEOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"VIDRIOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"CRÉDITO COMERCIAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"CRÉDITO A LA EXPORTACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"ELIMINADA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"DESEMPLEO";10242929708.59;20576720683.84;31930852222.97;41806463462.95;54140462760.79;66212254142.53;79408170435.52;89318071351.63;101934491470.05;114633493671.07;127307455271.37;142686590404.05;12046159160.41;24215375402.77;35850871218.44;48691541677.68;62134714492.71;72595073639.21;85129307877.39;98121393747.55;111969044624.8;124945297530.66;137094940893.44;149304453198.86;9195800225.06
"29099903075";"Prima Aceptada en Reaseguro";"HOGAR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903075";"Prima Aceptada en Reaseguro";"EXEQUIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
